datetime,funding_rate,funding_rate_timestamp
2025-11-09 16:00:00,6.747e-05,1762704000000
2025-11-10 00:00:00,0.0001,1762732800000
2025-11-10 08:00:00,-2.35e-06,1762761600000
2025-11-10 16:00:00,2.858e-05,1762790400000
2025-11-11 00:00:00,1.12e-06,1762819200000
2025-11-11 08:00:00,-4.891e-05,1762848000000
2025-11-11 16:00:00,3.623e-05,1762876800000
2025-11-12 00:00:00,-2.02e-05,1762905600000
2025-11-12 08:00:00,-2.759e-05,1762934400000
2025-11-12 16:00:00,0.0001,1762963200000
2025-11-13 00:00:00,-4.174e-05,1762992000000
2025-11-13 08:00:00,-4.73e-06,1763020800000
2025-11-13 16:00:00,8.96e-06,1763049600000
2025-11-14 00:00:00,-0.00018125,1763078400000
2025-11-14 08:00:00,6.1e-06,1763107200000
2025-11-14 16:00:00,8.596e-05,1763136000000
2025-11-15 00:00:00,1.513e-05,1763164800000
2025-11-15 08:00:00,0.0001,1763193600000
2025-11-15 16:00:00,0.0001,1763222400000
2025-11-16 00:00:00,3.8e-06,1763251200000
2025-11-16 08:00:00,7.775e-05,1763280000000
2025-11-16 16:00:00,1.686e-05,1763308800000
2025-11-17 00:00:00,6.917e-05,1763337600000
2025-11-17 08:00:00,0.0001,1763366400000
2025-11-17 16:00:00,3.072e-05,1763395200000
2025-11-18 00:00:00,-3.789e-05,1763424000000
2025-11-18 08:00:00,0.0001,1763452800000
2025-11-18 16:00:00,0.0001,1763481600000
2025-11-19 00:00:00,8.83e-05,1763510400000
2025-11-19 08:00:00,-1.038e-05,1763539200000
2025-11-19 16:00:00,4.484e-05,1763568000000
2025-11-20 00:00:00,5.78e-05,1763596800000
2025-11-20 08:00:00,0.0001,1763625600000
2025-11-20 16:00:00,0.0001,1763654400000
2025-11-21 00:00:00,5.608e-05,1763683200000
2025-11-21 08:00:00,2.195e-05,1763712000000
2025-11-21 16:00:00,7.873e-05,1763740800000
2025-11-22 00:00:00,3.643e-05,1763769600000
2025-11-22 08:00:00,6.295e-05,1763798400000
2025-11-22 16:00:00,4.122e-05,1763827200000
2025-11-23 00:00:00,7.392e-05,1763856000000
2025-11-23 08:00:00,5.528e-05,1763884800000
2025-11-23 16:00:00,3.885e-05,1763913600000
2025-11-24 00:00:00,3.719e-05,1763942400000
2025-11-24 08:00:00,2.275e-05,1763971200000
2025-11-24 16:00:00,4.9e-05,1764000000000
2025-11-25 00:00:00,0.0001,1764028800000
2025-11-25 08:00:00,-6.98e-06,1764057600000
2025-11-25 16:00:00,2.602e-05,1764086400000
2025-11-26 00:00:00,8.887e-05,1764115200000
2025-11-26 08:00:00,-1.484e-05,1764144000000
2025-11-26 16:00:00,2.405e-05,1764172800000
2025-11-27 00:00:00,6.446e-05,1764201600000
2025-11-27 08:00:00,1.869e-05,1764230400000
2025-11-27 16:00:00,-2.334e-05,1764259200000
2025-11-28 00:00:00,3.447e-05,1764288000000
2025-11-28 08:00:00,5.353e-05,1764316800000
2025-11-28 16:00:00,2.45e-06,1764345600000
2025-11-29 00:00:00,-5.012e-05,1764374400000
2025-11-29 08:00:00,-5.295e-05,1764403200000
2025-11-29 16:00:00,-2.13e-06,1764432000000
2025-11-30 00:00:00,5.188e-05,1764460800000
2025-11-30 08:00:00,4.893e-05,1764489600000
2025-11-30 16:00:00,2.324e-05,1764518400000
2025-12-01 00:00:00,-4.8e-07,1764547200000
2025-12-01 08:00:00,-3.65e-06,1764576000000
2025-12-01 16:00:00,-6.701e-05,1764604800000
2025-12-02 00:00:00,-3.131e-05,1764633600000
2025-12-02 08:00:00,8.34e-05,1764662400000
2025-12-02 16:00:00,4.708e-05,1764691200000
2025-12-03 00:00:00,5.16e-05,1764720000000
2025-12-03 08:00:00,2.118e-05,1764748800000
2025-12-03 16:00:00,0.0001,1764777600000
2025-12-04 00:00:00,8.345e-05,1764806400000
2025-12-04 08:00:00,2.236e-05,1764835200000
2025-12-04 16:00:00,3.94e-06,1764864000000
2025-12-05 00:00:00,1.18e-06,1764892800000
