open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1701388800000,2051.77,2053.15,2044.35,2049.06,61351.998,1701392399999,125660078.34548,67369,28012.284,57372853.35539,0
1701392400000,2049.06,2091.33,2046.72,2087.98,330256.927,1701395999999,685109690.86081,254517,176642.264,366347562.37698,0
1701396000000,2087.99,2093.77,2082.47,2085.76,140415.082,1701399599999,293129597.04171,128774,65753.307,137283650.48597,0
1701399600000,2085.76,2092.96,2082.81,2092.10,76992.771,1701403199999,160813838.96040,77705,37605.275,78543132.01697,0
1701403200000,2092.11,2100.34,2089.30,2094.43,136544.425,1701406799999,286118440.71825,118020,70564.213,147879155.05728,0
1701406800000,2094.43,2096.75,2089.84,2091.27,64136.710,1701410399999,134231476.51932,61037,27412.758,57372144.50244,0
1701410400000,2091.27,2093.38,2086.73,2092.30,66141.114,1701413999999,138270729.69954,60469,31934.145,66761872.32815,0
1701414000000,2092.30,2108.83,2089.19,2092.29,200948.617,1701417599999,421758448.56984,149446,107672.692,225987639.15441,0
1701417600000,2092.30,2099.09,2091,2093.86,77832.800,1701421199999,163067277.14766,67183,37179.601,77895558.74821,0
1701421200000,2093.87,2111.50,2093.43,2104.19,225230.439,1701424799999,473268860.95900,175094,111830.652,235023719.89145,0
1701424800000,2104.19,2105,2088.33,2089.42,120146.106,1701428399999,251893977.05878,102729,52321.777,109701852.34290,0
1701428400000,2089.43,2094.37,2086.08,2092.21,80660.794,1701431999999,168641537.56768,68387,40935.949,85588376.59931,0
1701432000000,2092.21,2094.31,2083.42,2087.18,99071.499,1701435599999,206930164.01471,91688,45354.593,94737426.66698,0
1701435600000,2087.18,2091.10,2075.85,2080.43,125563.699,1701439199999,261542314.82858,100271,55888.374,116440828.28594,0
1701439200000,2080.43,2083.20,2073.74,2078.01,124120.527,1701442799999,257937016.50670,116230,66247.358,137675468.75390,0
1701442800000,2078.01,2082.82,2070.30,2079.43,102610.339,1701446399999,213188089.00412,99759,51426.608,106853220.70696,0
1701446400000,2079.44,2110,2077.45,2104.24,368014.392,1701449999999,771650498.08011,251548,198003.735,415124894.44652,0
1701450000000,2104.25,2107.88,2087.60,2093.80,166323.590,1701453599999,348659451.05287,135717,81646.353,171147866.28916,0
1701453600000,2093.80,2098.50,2086.89,2090.13,85193.591,1701457199999,178268488.21452,75474,39848.402,83389771.23623,0
1701457200000,2090.13,2091.74,2080,2089.64,98288.411,1701460799999,205065269.96655,80896,45334.647,94590011.57424,0
1701460800000,2089.65,2096.68,2087.54,2090.49,50833.679,1701464399999,106317065.25662,54643,28704.685,60040486.67589,0
1701464400000,2090.49,2095.97,2088.29,2090.12,38684.687,1701467999999,80937728.56007,45548,20660.702,43231868.84878,0
1701468000000,2090.12,2092.26,2081.86,2085.23,38078.018,1701471599999,79495326.46787,38571,13952.353,29125527.04244,0
1701471600000,2085.24,2087,2082.73,2086.99,31296.337,1701475199999,65241695.25969,35102,15297.964,31890216.15393,0
1701475200000,2086.99,2092.85,2085.63,2091.76,37274.381,1701478799999,77860648.21936,40898,21224,44335905.44807,0
1701478800000,2091.76,2095.96,2090.04,2093.82,45257.131,1701482399999,94721800.04359,40043,20951.888,43852874.70572,0
1701482400000,2093.83,2097,2087.53,2091.15,42457.349,1701485999999,88826293.70569,38850,19429.518,40651068.70013,0
1701486000000,2091.14,2094.63,2089.20,2092.47,24116.408,1701489599999,50460724.48395,30105,12189.265,25504692.49784,0
1701489600000,2092.46,2094.86,2089.52,2094.17,26966.756,1701493199999,56418847.65843,27965,12762.452,26702283.08793,0
1701493200000,2094.16,2096,2090.94,2094.60,28400.145,1701496799999,59478749.43270,28744,14341.752,30035114.25403,0
1701496800000,2094.60,2103,2093.40,2101.65,71238.775,1701500399999,149534631.94257,62577,40325.762,84646864.80798,0
1701500400000,2101.65,2106.47,2094.72,2095.65,66824.830,1701503999999,140357697.93954,65827,32749.455,68795767.06228,0
1701504000000,2095.66,2102.24,2095.65,2099.09,41315.724,1701507599999,86746867.57060,42554,20736.793,43537204.53444,0
1701507600000,2099.09,2105.55,2099.01,2103.06,42879.024,1701511199999,90174707.45134,46272,22390.883,47087489.30511,0
1701511200000,2103.07,2107.52,2099.25,2101.30,56780.406,1701514799999,119420761.39502,47427,32473.865,68305215.77570,0
1701514800000,2101.30,2101.58,2096.35,2098.52,51077.281,1701518399999,107211071.32545,42170,20439.087,42902498.84102,0
1701518400000,2098.53,2105.88,2097.36,2105.20,55751.298,1701521999999,117230920.71083,48984,29428.768,61883611.52253,0
1701522000000,2105.20,2108.67,2101.45,2103.49,66300.634,1701525599999,139557381.93008,57770,33854.885,71271606.60916,0
1701525600000,2103.48,2108.99,2091.81,2098.93,104365.581,1701529199999,219214588.34941,89833,46637.566,97969798.44032,0
1701529200000,2098.93,2105.93,2093.33,2103.59,80254.081,1701532799999,168537972.22348,71979,40535.366,85128852.87066,0
1701532800000,2103.59,2104.76,2097,2099.07,49601.877,1701536399999,104163080.33146,44587,21453.434,45050493.30072,0
1701536400000,2099.07,2106,2097.84,2105.53,47955.006,1701539999999,100837368.20620,40934,27571.600,57971149.88127,0
1701540000000,2105.53,2158.08,2103.80,2148.02,594194.149,1701543599999,1267629786.96365,364441,340502.958,726034705.85002,0
1701543600000,2148.03,2199.99,2128,2159.10,761925.217,1701547199999,1648834631.77076,481161,391500.207,847697416.86130,0
1701547200000,2159.09,2164.12,2152.86,2157.92,109347.158,1701550799999,235930338.41338,103570,53308.040,115028961.15170,0
1701550800000,2157.92,2177.91,2153.77,2169.24,147794.704,1701554399999,319969985.89058,112336,81031.225,175461857.10197,0
1701554400000,2169.25,2171.64,2153.96,2158.60,98913.580,1701557999999,213763888.30361,87805,44500.935,96172604.85312,0
1701558000000,2158.60,2167.49,2157.47,2165.28,52881.222,1701561599999,114394558.57972,52299,27686,59889733.65927,0
1701561600000,2165.26,2168.63,2157.56,2166.70,64025.456,1701565199999,138523538.06419,63109,31414.505,67966652.69001,0
1701565200000,2166.70,2172.97,2165.09,2169.96,55279.425,1701568799999,119909844.12600,55046,26753.271,58034774.18020,0
1701568800000,2169.96,2177.94,2163.39,2165.27,80694.923,1701572399999,175211977.10173,76734,39396.354,85550456.26839,0
1701572400000,2165.27,2166.45,2155.90,2162.38,85179.123,1701575999999,183999916.14821,73063,44712.767,96584093.65252,0
1701576000000,2162.39,2163.49,2155.87,2156.72,52696.281,1701579599999,113805813.82476,46877,24179.147,52224776.44852,0
1701579600000,2156.72,2161.81,2153.57,2160.85,41340.381,1701583199999,89229781.05369,42535,21483.828,46371618.24529,0
1701583200000,2160.84,2161.53,2152.81,2157.23,39720.347,1701586799999,85693641.16877,42775,18974.986,40938936.57460,0
1701586800000,2157.23,2165.80,2155.28,2165.07,63712.564,1701590399999,137727787.36454,50895,34127.856,73768877.26022,0
1701590400000,2165.07,2165.96,2160.33,2160.91,42987.816,1701593999999,92998702.72711,39730,18002.387,38946216.51691,0
1701594000000,2160.91,2168.60,2160.24,2166.60,37528.912,1701597599999,81232771.92570,37913,19502.651,42215212.17764,0
1701597600000,2166.61,2168.85,2161.36,2166.86,48135.260,1701601199999,104270380.82162,45445,26588.390,57597129.12596,0
1701601200000,2166.87,2167.13,2156.59,2159.28,52646.845,1701604799999,113770384.67855,50344,22634.644,48915073.66914,0
1701604800000,2159.27,2159.44,2148.17,2152.81,127200.920,1701608399999,274072629.63861,83774,59447.646,128089356.56855,0
1701608400000,2152.80,2165.91,2151.09,2161.53,127057.806,1701611999999,274463001.88373,98001,67238.806,145236917.31046,0
1701612000000,2161.53,2163.13,2151.51,2151.80,94822.067,1701615599999,204492902.87091,86807,42797.970,92300481.69122,0
1701615600000,2151.80,2163.37,2151.16,2160.35,79609.136,1701619199999,171710863.41376,70262,39997.568,86270140.12783,0
1701619200000,2160.36,2167.57,2154.70,2158.95,82705.457,1701622799999,178688414.07367,70297,39960.377,86345559.34965,0
1701622800000,2158.95,2160.20,2149.14,2153.41,80250.098,1701626399999,172837269.34262,68313,36554.666,78729948.56450,0
1701626400000,2153.42,2163.92,2152.67,2161.15,46573.807,1701629999999,100551181.15306,42812,25353.346,54727892.38659,0
1701630000000,2161.16,2169.24,2157.30,2167.59,60270.307,1701633599999,130442336.90522,55434,30366.587,65726509.98643,0
1701633600000,2167.60,2174.39,2165.09,2167.79,60670.667,1701637199999,131599233.42374,55616,30693.200,66582881.93309,0
1701637200000,2167.80,2185.95,2167.80,2183.12,90518.175,1701640799999,197081266.36253,73907,50782.579,110573582.30559,0
1701640800000,2183.13,2219.17,2181.90,2205.94,430502.325,1701644399999,949223414.35936,296154,228569.614,503939944.14009,0
1701644400000,2205.95,2209.76,2181.38,2193.24,194247.931,1701647999999,426191720.39130,157585,95066.233,208613564.85044,0
1701648000000,2193.25,2211.99,2191.52,2210.65,119740.972,1701651599999,263641264.37412,105210,65905.243,145128783.92282,0
1701651600000,2210.65,2230,2206.02,2214.37,272941.284,1701655199999,605401597.70377,211702,139815.655,310165897.08803,0
1701655200000,2214.37,2216.08,2204.72,2212.65,110136.126,1701658799999,243459154.26532,85702,49421.518,109252222.55323,0
1701658800000,2212.65,2219.84,2210.37,2210.77,73586.392,1701662399999,162947871.03799,69227,36194.248,80153092.92377,0
1701662400000,2210.78,2226.50,2210.38,2225.17,100447.946,1701665999999,223032764.54853,88557,52642.816,116892242.78035,0
1701666000000,2225.16,2255.20,2221.19,2246.26,337728.193,1701669599999,757116860.94817,255268,180950.487,405650490.91834,0
