datetime,open,high,low,close,volume,quote_volume,trades,taker_buy_base,taker_buy_quote
2020-01-01 00:00:00,129.12,129.12,128.62,128.82,14947.691,1925643.61904,1249,7707.625,992883.79597
2020-01-01 01:00:00,128.81,130.61,128.76,130.57,34755.256,4514483.5812,3116,19928.267,2588555.34518
2020-01-01 02:00:00,130.58,130.97,130.3,130.8,21864.946,2857377.66035,1807,10299.172,1345961.88773
2020-01-01 03:00:00,130.8,130.82,129.88,130.09,16823.171,2190835.34416,1448,7580.536,986901.27252
2020-01-01 04:00:00,130.1,130.63,130.09,130.15,11357.239,1480318.82251,1065,5204.925,678301.53122
2020-01-01 05:00:00,130.15,130.37,130.05,130.23,7851.208,1022470.85041,834,3624.324,471972.08305
2020-01-01 06:00:00,130.23,130.67,130.21,130.36,12698.171,1656415.14384,1181,6005.377,783382.70544
2020-01-01 07:00:00,130.36,130.6,130.0,130.17,14907.105,1942037.23612,1169,7926.916,1032474.02414
2020-01-01 08:00:00,130.15,130.24,129.75,130.24,14712.157,1912017.90765,1355,6372.486,828194.51592
2020-01-01 09:00:00,130.24,130.49,130.01,130.03,7567.51,985720.44641,1067,3301.827,430111.41746
2020-01-01 10:00:00,130.02,130.68,129.97,130.59,12393.915,1615959.62319,1306,6249.176,814843.89211
2020-01-01 11:00:00,130.59,131.88,130.5,130.64,35693.375,4683276.29012,2741,19860.364,2605598.00094
2020-01-01 12:00:00,130.63,131.58,130.63,131.53,15314.035,2008066.04006,1339,9235.363,1211065.79045
2020-01-01 13:00:00,131.57,131.97,131.18,131.55,15767.101,2074315.66068,1430,7789.997,1024997.65714
2020-01-01 14:00:00,131.55,132.24,131.16,131.82,21989.252,2899058.69886,2101,11230.797,1480919.47693
2020-01-01 15:00:00,131.87,132.49,131.52,131.97,22613.919,2983434.15559,1845,10855.072,1432419.69834
2020-01-01 16:00:00,132.0,132.9,131.71,132.79,26228.975,3466593.19304,2099,14399.56,1903693.02404
2020-01-01 17:00:00,132.8,132.96,132.22,132.31,23039.829,3053311.84078,1755,10393.366,1377293.62051
2020-01-01 18:00:00,132.31,132.38,131.45,131.94,17695.871,2334762.11107,1424,7676.756,1012864.72569
2020-01-01 19:00:00,131.94,132.04,131.53,131.79,11759.809,1549616.05263,1158,5781.663,761808.22943
