open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1643673600000,38439.04,38611.57,38250.63,38326.19,10250.981,1643677199999,393525108.44597,98168,5162.339,198202201.32383,0
1643677200000,38326.18,38388.21,38145.00,38223.22,5990.060,1643680799999,229173943.32104,68166,2804.506,107328133.21802,0
1643680800000,38223.22,38500.26,38186.20,38458.41,7214.725,1643684399999,276831425.94908,73582,4413.919,169363023.45955,0
1643684400000,38458.41,38630.00,38370.00,38570.11,6826.553,1643687999999,262852823.26510,75369,3692.791,142229544.03659,0
1643688000000,38570.10,38625.00,38447.00,38541.68,4981.112,1643691599999,191911591.55427,58005,2346.931,90426292.99769,0
1643691600000,38541.68,38613.20,38410.40,38433.90,5733.775,1643695199999,220901741.73183,58761,2797.229,107795181.71256,0
1643695200000,38433.90,38474.01,38220.08,38275.00,10724.609,1643698799999,410895726.69547,106676,5169.764,198076596.42877,0
1643698800000,38275.01,38449.98,38268.08,38420.65,5729.385,1643702399999,219899004.05951,68035,3112.202,119449248.21806,0
1643702400000,38420.65,38589.95,38381.49,38576.82,7566.812,1643705999999,291387665.41129,81195,4010.350,154448856.70475,0
1643706000000,38576.48,39100.00,38202.47,38239.32,45174.636,1643709599999,1745576526.70823,397118,23821.296,921040348.85079,0
1643709600000,38239.36,38349.84,37969.00,38231.36,20070.874,1643713199999,765939166.41722,182907,9917.874,378570104.08907,0
1643713200000,38231.36,38463.00,38185.00,38402.86,11095.889,1643716799999,425424827.42733,114063,5914.750,226787892.89506,0
1643716800000,38402.86,38739.96,38340.00,38624.67,15169.588,1643720399999,584962160.69850,161753,7762.542,299366424.23199,0
1643720400000,38624.67,38934.96,38421.67,38840.98,23451.244,1643723999999,907782997.46647,226088,12017.768,465311962.90653,0
1643724000000,38844.85,39049.43,38320.70,38492.10,34532.240,1643727599999,1336136683.54519,342988,17113.249,662292965.89929,0
1643727600000,38492.11,38630.00,38170.89,38604.97,27888.846,1643731199999,1069964533.28288,282744,14057.979,539479624.70411,0
1643731200000,38605.26,39260.26,38566.40,39092.04,33398.611,1643734799999,1299429945.60664,335125,18277.980,711371609.87637,0
1643734800000,39092.05,39150.00,38632.00,38846.32,22084.587,1643738399999,858408722.21216,233225,10718.922,416602806.09895,0
1643738400000,38846.32,38896.05,38443.70,38516.49,11199.115,1643741999999,433419526.99085,128708,5226.475,202351678.09603,0
1643742000000,38516.49,38581.86,38322.00,38356.04,12355.151,1643745599999,474884727.90682,140089,5926.509,227810732.19075,0
1643745600000,38356.04,38722.75,38345.00,38491.19,12078.002,1643749199999,465499885.33154,128462,6508.227,250813270.78178,0
1643749200000,38491.19,38800.00,38448.01,38763.41,7354.349,1643752799999,284497076.17113,89912,3934.047,152201975.78674,0
1643752800000,38763.41,38838.89,38510.95,38682.60,5937.700,1643756399999,229687059.20770,76430,2758.849,106740705.59877,0
1643756400000,38682.60,38884.60,38585.02,38680.51,6545.277,1643759999999,253602914.89368,75294,3399.826,131757970.02554,0
1643760000000,38680.51,38834.18,38400.01,38539.88,9713.839,1643763599999,374979605.91227,110279,4761.351,183824043.62826,0
1643763600000,38539.88,38658.05,38350.00,38425.01,6974.477,1643767199999,268310967.01900,78077,3176.909,122249763.82084,0
1643767200000,38425.01,38645.90,38365.20,38598.61,5032.049,1643770799999,193937783.08479,61245,2723.158,104945282.19956,0
1643770800000,38598.61,38730.32,38523.35,38540.29,4275.419,1643774399999,165147889.64136,55533,2141.529,82730694.59573,0
1643774400000,38540.28,38540.29,38390.00,38412.10,6931.923,1643777999999,266598646.73836,73348,3391.724,130449889.10774,0
1643778000000,38412.11,38503.46,38292.30,38404.67,6986.297,1643781599999,268089763.16850,77380,3305.409,126846258.91724,0
