datetime,open,high,low,close,volume,quote_volume,trades,taker_buy_base,taker_buy_quote
2020-01-01 00:00:00,7189.43,7190.52,7170.15,7171.55,2449.049,17576424.4397,3688,996.198,7149370.76353
2020-01-01 01:00:00,7171.43,7225.0,7171.1,7210.24,3865.038,27838046.0067,6635,2340.878,16860294.05346
2020-01-01 02:00:00,7210.38,7239.3,7206.46,7237.99,3228.365,23324810.40721,5120,1774.145,12818470.64119
2020-01-01 03:00:00,7237.41,7239.74,7215.0,7221.65,2513.307,18161821.85874,4143,1245.065,8996218.68843
2020-01-01 04:00:00,7221.8,7225.41,7211.22,7213.86,1176.666,8493630.86781,1966,586.864,4236084.26051
2020-01-01 05:00:00,7213.86,7224.09,7213.86,7220.31,928.221,6700390.10688,1763,517.394,3734697.13265
2020-01-01 06:00:00,7220.31,7230.0,7217.6,7221.0,1283.557,9273283.12834,2251,668.611,4830486.20537
2020-01-01 07:00:00,7220.99,7227.2,7193.52,7205.26,2349.907,16943391.10172,4318,1082.591,7806258.20121
2020-01-01 08:00:00,7205.26,7206.29,7174.0,7195.24,3385.349,24333301.75941,9921,1463.905,10523587.58285
2020-01-01 09:00:00,7195.23,7204.99,7182.76,7184.45,1687.285,12137547.34591,3120,750.411,5398605.6605
2020-01-01 10:00:00,7184.46,7205.0,7181.43,7197.25,1222.531,8797423.88326,2665,677.3,4873534.29877
2020-01-01 11:00:00,7197.27,7234.57,7185.01,7192.65,3741.128,26971223.20524,7721,1932.012,13930484.90029
2020-01-01 12:00:00,7192.74,7224.26,7191.79,7220.72,2419.669,17448057.53575,4554,1332.027,9604950.69266
2020-01-01 13:00:00,7220.72,7226.9,7210.0,7215.54,1826.277,13184325.83869,3054,961.275,6939553.26072
2020-01-01 14:00:00,7215.49,7228.47,7204.0,7216.8,2546.332,18379130.68135,3980,1339.772,9670525.59204
2020-01-01 15:00:00,7216.8,7260.43,7215.0,7229.49,4218.25,30505057.22441,7596,2323.526,16804292.63666
2020-01-01 16:00:00,7229.66,7247.0,7210.81,7241.91,2453.81,17731854.48586,4071,1444.1,10438278.12493
2020-01-01 17:00:00,7241.91,7248.0,7221.88,7233.8,2477.807,17930091.99943,4085,1305.969,9449836.17259
2020-01-01 18:00:00,7233.87,7241.95,7222.0,7237.47,1827.668,13217625.54872,2792,881.413,6374001.57495
2020-01-01 19:00:00,7237.83,7237.83,7223.15,7226.35,1028.577,7434946.85725,1707,472.713,3416633.1214
2020-01-01 20:00:00,7226.56,7242.0,7223.09,7233.3,1476.534,10678663.7654,2239,822.385,5947941.0634
2020-01-01 21:00:00,7233.32,7238.79,7225.0,7229.71,1210.884,8754879.76205,1838,583.583,4219334.99846
