open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1688169600000,1933.42,1944.69,1929.41,1933.73,126566.533,1688173199999,245167077.95259,123331,63786.188,123575007.63509,0
1688173200000,1933.74,1935.78,1923.33,1928.49,118688.566,1688176799999,228946939.56151,112006,55187.866,106455739.88231,0
1688176800000,1928.48,1929.70,1920.22,1920.59,77862.765,1688180399999,149806071.47586,81563,36532.034,70295447.74498,0
1688180400000,1920.59,1922.58,1917.01,1919.72,59114.249,1688183999999,113480665.16003,68385,31158.957,59819274.58398,0
1688184000000,1919.72,1920.74,1908.55,1914.99,139814.717,1688187599999,267572113.56918,121743,64883.379,124174445.32669,0
1688187600000,1915.00,1918.97,1913.94,1918.48,53914.663,1688191199999,103323385.77982,56426,31902.525,61142279.18366,0
1688191200000,1918.48,1921.97,1914.39,1920.40,70161.815,1688194799999,134585945.28658,65769,39270.284,75336188.79429,0
1688194800000,1920.40,1920.92,1912.00,1919.80,69617.960,1688198399999,133430057.02188,68446,36175.466,69332459.77789,0
1688198400000,1919.80,1920.25,1910.33,1914.73,70623.871,1688201999999,135331630.04762,72122,31051.905,59508009.16401,0
1688202000000,1914.73,1919.67,1912.82,1916.14,64907.912,1688205599999,124413793.86380,63693,34304.754,65758868.38307,0
1688205600000,1916.14,1926.31,1915.12,1922.01,104337.925,1688209199999,200389226.48054,90618,56544.969,108609108.53789,0
1688209200000,1922.01,1926.49,1920.31,1921.98,75761.551,1688212799999,145694409.99023,68324,40192.119,77291037.86823,0
1688212800000,1921.99,1927.63,1921.19,1926.40,74706.156,1688216399999,143797587.77259,71790,35445.973,68226567.46785,0
1688216400000,1926.41,1929.67,1922.05,1922.82,76310.410,1688219999999,146946375.25554,74403,37840.407,72868942.59927,0
1688220000000,1922.82,1925.26,1920.52,1922.20,55753.496,1688223599999,107206314.39038,62167,26958.777,51836145.69770,0
1688223600000,1922.21,1923.92,1916.72,1922.15,71163.721,1688227199999,136698636.30768,68926,35872.041,68912151.98364,0
1688227200000,1922.15,1923.02,1916.15,1919.00,57091.418,1688230799999,109591440.13580,66499,26913.039,51658125.93100,0
1688230800000,1919.00,1921.01,1916.00,1918.01,44691.022,1688234399999,85721577.55689,53975,22334.360,42842081.39105,0
1688234400000,1918.00,1921.00,1917.74,1920.92,26394.574,1688237999999,50672287.46945,37321,14982.126,28761079.95001,0
1688238000000,1920.93,1923.99,1920.92,1922.24,38236.385,1688241599999,73509029.77658,45885,21599.904,41522339.27100,0
1688241600000,1922.24,1923.91,1921.28,1922.50,21126.415,1688245199999,40621135.55036,32329,10805.009,20775817.61465,0
1688245200000,1922.51,1923.19,1920.95,1922.79,15059.483,1688248799999,28944528.86804,29369,8043.642,15460199.82935,0
1688248800000,1922.79,1927.18,1920.00,1922.21,46158.505,1688252399999,88762796.47345,52799,21559.346,41461526.00797,0
1688252400000,1922.21,1925.00,1920.00,1924.08,25942.597,1688255999999,49871773.49121,37908,12823.852,24654121.82402,0
1688256000000,1924.08,1926.73,1916.33,1920.49,94689.562,1688259599999,181924073.95711,82239,46356.188,89079896.04388,0
1688259600000,1920.48,1923.49,1917.72,1919.83,45990.644,1688263199999,88314244.77394,44245,21394.798,41083377.65831,0
1688263200000,1919.82,1923.79,1910.49,1918.97,92992.187,1688266799999,178303047.56694,81501,45279.519,86837832.96134,0
1688266800000,1918.97,1919.09,1911.01,1913.67,65959.566,1688270399999,126316500.41575,72769,28996.514,55530251.37763,0
1688270400000,1913.66,1915.96,1909.44,1912.92,77891.501,1688273999999,149022108.21475,65808,38286.488,73254431.81137,0
1688274000000,1912.92,1915.81,1911.28,1913.41,50600.900,1688277599999,96818394.39034,49210,25627.330,49034341.84669,0
1688277600000,1913.40,1916.23,1911.92,1913.17,45174.965,1688281199999,86460171.69190,42096,21828.299,41775637.93252,0
1688281200000,1913.18,1916.04,1911.88,1914.15,46679.239,1688284799999,89341529.06185,41609,21560.723,41267545.74559,0
1688284800000,1914.15,1917.98,1911.10,1911.27,61735.882,1688288399999,118186669.88819,56978,30282.193,57980441.96061,0
1688288400000,1911.26,1919.00,1910.74,1917.16,50125.184,1688291999999,96032899.70666,53018,27592.578,52864162.94905,0
1688292000000,1917.17,1919.15,1914.57,1916.57,74034.936,1688295599999,141913028.12216,53137,37670.828,72209303.03418,0
1688295600000,1916.57,1922.64,1915.83,1919.99,43557.317,1688299199999,83573537.50892,43524,24387.324,46794883.94082,0
1688299200000,1920.00,1921.22,1915.53,1917.42,35652.143,1688302799999,68400313.11990,41266,16875.062,32377036.81752,0
1688302800000,1917.41,1918.62,1912.82,1915.17,50908.156,1688306399999,97519948.67837,46529,25775.765,49381266.21098,0
1688306400000,1915.18,1927.95,1914.61,1925.20,112640.800,1688309999999,216514179.14496,93290,63113.587,121310073.11500,0
1688310000000,1925.20,1927.41,1883.55,1917.87,427062.360,1688313599999,814786596.19782,275825,191344.563,365178444.95155,0
1688313600000,1917.87,1924.03,1915.16,1916.87,118207.704,1688317199999,226793294.89188,91865,56257.350,107938022.36841,0
1688317200000,1916.87,1917.47,1904.88,1906.57,106899.182,1688320799999,204294718.15634,92448,47948.898,91632348.60321,0
1688320800000,1906.58,1911.96,1900.88,1911.86,90460.926,1688324399999,172475761.80883,85181,47478.885,90533953.49266,0
1688324400000,1911.87,1914.00,1910.02,1913.50,38955.399,1688327999999,74478867.19708,45350,18302.822,34993470.37461,0
1688328000000,1913.49,1920.61,1910.53,1917.80,64409.856,1688331599999,123422605.91907,55691,34353.029,65830367.08418,0
1688331600000,1917.81,1924.85,1917.20,1921.10,72740.050,1688335199999,139756136.63607,65745,35519.864,68248246.64703,0
1688335200000,1921.10,1964.00,1905.00,1942.31,583595.353,1688338799999,1132531875.86564,401985,306377.016,594634903.40403,0
1688338800000,1942.31,1944.73,1930.20,1937.69,151323.953,1688342399999,293074009.70479,122651,78461.549,151960681.79868,0
1688342400000,1937.69,1942.47,1933.04,1934.78,87788.078,1688345999999,170115233.83099,76622,44349.945,85954275.15596,0
1688346000000,1934.79,1949.99,1934.45,1944.39,94246.183,1688349599999,183195656.15641,92826,48921.449,95079749.28257,0
1688349600000,1944.40,1953.92,1944.22,1948.99,89622.066,1688353199999,174735979.54724,89514,49624.919,96759854.94672,0
1688353200000,1949.00,1951.16,1947.40,1948.40,43574.474,1688356799999,84938862.55908,58327,21689.526,42278114.75157,0
1688356800000,1948.40,1952.78,1939.15,1948.60,119340.287,1688360399999,232309610.65413,102594,56682.831,110370224.99371,0
1688360400000,1948.60,1949.40,1943.84,1944.79,41248.472,1688363999999,80310594.28647,54306,18206.360,35451449.49120,0
1688364000000,1944.79,1948.60,1941.60,1947.57,64101.509,1688367599999,124683152.27402,63692,31416.131,61113494.95944,0
1688367600000,1947.57,1975.54,1947.35,1968.01,325279.067,1688371199999,638428775.63251,238004,181240.127,355695203.43836,0
1688371200000,1968.00,1978.00,1958.34,1959.79,220968.084,1688374799999,434495396.16362,165487,103388.652,203334843.27125,0
1688374800000,1959.80,1963.41,1954.90,1955.53,81550.387,1688378399999,159768168.72179,78232,34804.525,68197630.94297,0
1688378400000,1955.54,1962.52,1954.11,1961.74,70260.471,1688381999999,137629542.86469,69534,38013.742,74464651.50201,0
1688382000000,1961.74,1967.00,1960.40,1961.38,70664.831,1688385599999,138725833.20397,76055,38295.321,75185728.81901,0
1688385600000,1961.38,1967.06,1954.06,1966.30,155262.773,1688389199999,304443675.16473,112607,83523.352,163815389.70887,0
1688389200000,1966.30,1972.00,1961.14,1964.25,128315.018,1688392799999,252316001.63148,109570,66967.302,131688995.26628,0
1688392800000,1964.26,1967.04,1957.66,1960.41,103163.778,1688396399999,202407703.46374,95992,51329.552,100720681.46371,0
1688396400000,1960.41,1977.52,1959.85,1968.16,273620.689,1688399999999,538830016.74611,201981,139957.836,275605230.28329,0
1688400000000,1968.17,1970.63,1952.65,1963.40,196072.100,1688403599999,384498415.79440,141098,94551.588,185437770.17081,0
1688403600000,1963.40,1966.40,1958.49,1963.57,74330.291,1688407199999,145894309.60636,66252,36854.771,72342176.56261,0
1688407200000,1963.59,1971.73,1959.19,1970.47,92584.760,1688410799999,182027932.69697,86178,51594.441,101449504.85485,0
1688410800000,1970.47,1974.75,1963.41,1966.91,161118.767,1688414399999,317236034.30103,113146,74036.375,145803754.90153,0
1688414400000,1966.91,1967.74,1954.28,1957.86,101252.560,1688417999999,198477043.37507,82136,49672.625,97370248.81248,0
1688418000000,1957.85,1959.14,1946.01,1956.73,96950.123,1688421599999,189399902.11077,85949,45357.856,88621606.41748,0
1688421600000,1956.73,1958.84,1952.00,1954.80,44635.805,1688425199999,87288021.58334,50560,22516.024,44035038.75383,0
1688425200000,1954.80,1955.56,1950.00,1955.00,47911.573,1688428799999,93574938.24786,49705,22635.965,44210622.25030,0
1688428800000,1955.00,1957.75,1950.00,1951.07,68071.587,1688432399999,132994914.66023,62345,32317.635,63143829.88361,0
1688432400000,1951.07,1959.96,1950.00,1953.63,122307.422,1688435999999,239071968.90722,88891,62897.519,122948004.08821,0
1688436000000,1953.62,1956.35,1952.19,1956.00,40424.730,1688439599999,79014236.31518,46863,18770.750,36689137.16217,0
1688439600000,1956.00,1967.91,1953.95,1962.64,72265.565,1688443199999,141741618.70695,72472,40846.052,80112851.84496,0
1688443200000,1962.65,1963.01,1948.00,1953.31,93950.574,1688446799999,183640801.50557,88931,41127.423,80376974.13946,0
1688446800000,1953.31,1954.85,1950.95,1951.79,51292.867,1688450399999,100162880.07169,50503,24558.770,47959402.84160,0
1688450400000,1951.79,1956.96,1945.37,1953.11,86594.853,1688453999999,169029776.89703,74922,48080.867,93864846.91548,0
1688454000000,1953.12,1954.41,1948.08,1948.26,46433.517,1688457599999,90603289.24629,51142,17405.497,33968446.31849,0
1688457600000,1948.25,1952.26,1948.00,1950.48,46169.183,1688461199999,90048790.05863,47423,25503.601,49742311.44949,0
1688461200000,1950.48,1954.83,1945.98,1954.62,60827.135,1688464799999,118703161.46593,59275,32640.419,63696873.26101,0
1688464800000,1954.61,1959.82,1953.44,1957.59,67832.170,1688468399999,132693407.03835,61672,36588.703,71578693.91308,0
1688468400000,1957.60,1961.80,1955.31,1960.13,72854.869,1688471999999,142725178.80478,60633,33887.170,66390310.37067,0
1688472000000,1960.13,1961.16,1953.19,1956.58,67740.340,1688475599999,132577760.56596,62352,31928.322,62488608.60036,0
1688475600000,1956.57,1958.56,1952.02,1955.59,62429.180,1688479199999,122083192.53397,60625,32723.338,63999127.95209,0
1688479200000,1955.58,1960.35,1954.37,1956.11,51110.510,1688482799999,100051181.03726,54033,25149.125,49232274.80870,0
1688482800000,1956.11,1959.45,1949.43,1953.89,80490.823,1688486399999,157208967.43694,72473,36496.622,71287039.89855,0
1688486400000,1953.89,1965.99,1950.00,1955.38,166372.463,1688489999999,325799205.05697,121994,85306.854,167062449.87734,0
1688490000000,1955.38,1957.08,1947.00,1949.20,125989.734,1688493599999,245896104.68468,88044,57767.914,112744441.21288,0
1688493600000,1949.19,1953.14,1944.72,1949.02,95341.111,1688497199999,185778758.26452,69468,51687.548,100733926.41531,0
1688497200000,1949.02,1949.95,1930.37,1933.67,249264.594,1688500799999,483154807.03912,180073,110996.071,215156767.72863,0
1688500800000,1933.67,1941.80,1931.33,1941.59,80003.976,1688504399999,155033851.08621,71680,44353.287,85943783.52964,0
1688504400000,1941.59,1942.00,1937.36,1941.37,33704.002,1688507999999,65394776.02206,38719,15587.353,30246389.32722,0
1688508000000,1941.36,1941.87,1937.90,1941.12,27464.780,1688511599999,53286322.83273,36749,12630.334,24504993.39492,0
1688511600000,1941.13,1941.13,1934.00,1935.72,44615.437,1688515199999,86459617.25306,48075,20049.359,38853562.53778,0
1688515200000,1935.72,1941.71,1933.69,1934.25,53812.788,1688518799999,104280289.65583,59749,27002.807,52329889.26303,0
1688518800000,1934.25,1942.04,1933.07,1937.97,50681.697,1688522399999,98274980.21212,54404,25852.887,50131880.67626,0
1688522400000,1937.97,1942.01,1937.00,1941.79,34101.392,1688525999999,66170083.08513,37879,19677.288,38182463.59980,0
1688526000000,1941.80,1942.22,1938.16,1940.92,21800.609,1688529599999,42297812.20757,29005,10589.896,20546495.36758,0
1688529600000,1940.91,1941.42,1935.41,1936.27,45942.698,1688533199999,89007945.61971,41793,18258.355,35372285.65241,0
1688533200000,1936.28,1938.45,1931.55,1933.70,54116.058,1688536799999,104708595.69067,50820,27653.584,53508994.58125,0
1688536800000,1933.69,1936.98,1933.00,1936.70,44885.020,1688540399999,86841637.57572,46534,24267.014,46950901.45303,0
1688540400000,1936.70,1937.70,1934.81,1936.13,31092.041,1688543999999,60210905.04435,32138,15723.076,30448179.48406,0
1688544000000,1936.14,1936.91,1907.75,1928.78,241822.560,1688547599999,465989409.27303,173502,109499.050,211119955.80395,0
1688547600000,1928.77,1930.29,1920.55,1921.06,94536.729,1688551199999,182005334.63115,84933,43510.183,83779516.53122,0
1688551200000,1921.06,1925.35,1902.00,1909.50,355733.858,1688554799999,680289010.18000,238957,164051.184,313754737.41676,0
1688554800000,1909.49,1916.94,1906.70,1909.95,119386.507,1688558399999,228365862.06365,108115,62474.650,119505719.21875,0
1688558400000,1909.89,1913.54,1895.00,1900.84,223459.418,1688561999999,425922548.77215,159046,101926.671,194370834.94909,0
1688562000000,1900.85,1905.87,1892.90,1902.21,215710.669,1688565599999,409853590.17823,172832,110107.223,209243011.62567,0
1688565600000,1902.21,1911.00,1901.28,1910.31,102170.437,1688569199999,194856989.06861,109609,55371.056,105604123.48268,0
1688569200000,1910.32,1910.82,1893.77,1902.02,145106.162,1688572799999,275945366.05628,129420,66139.476,125766094.43200,0
1688572800000,1902.01,1909.58,1900.45,1908.00,70200.077,1688576399999,133787804.81883,75774,38607.827,73575153.66307,0
1688576400000,1908.00,1915.89,1907.01,1911.59,86921.701,1688579999999,166190796.10140,78008,46905.483,89683246.40760,0
1688580000000,1911.58,1917.71,1905.78,1909.52,79396.052,1688583599999,151739224.26528,75737,37981.057,72586850.43941,0
1688583600000,1909.52,1912.42,1906.24,1906.98,40939.806,1688587199999,78159886.65344,47109,20307.306,38770289.42054,0
1688587200000,1906.98,1910.77,1903.02,1909.50,37370.984,1688590799999,71290458.79323,45325,17770.120,33903699.67252,0
1688590800000,1909.49,1912.77,1907.65,1910.39,32313.307,1688594399999,61731870.71789,37854,15971.468,30511315.71205,0
1688594400000,1910.39,1915.88,1906.28,1908.10,55134.138,1688597999999,105349416.32359,51771,30237.101,57788529.69626,0
1688598000000,1908.09,1915.31,1905.76,1909.88,53958.611,1688601599999,103121167.98866,51866,26391.236,50442342.95673,0
1688601600000,1909.88,1912.52,1900.99,1903.66,77463.833,1688605199999,147689577.14177,67661,35717.414,68117241.36281,0
1688605200000,1903.65,1907.81,1897.44,1907.80,62815.721,1688608799999,119505898.95688,56929,32217.947,61311916.07047,0
1688608800000,1907.81,1915.50,1907.80,1910.56,74918.092,1688612399999,143213084.93318,68219,39566.832,75634488.72206,0
1688612400000,1910.56,1914.47,1910.56,1912.56,31363.802,1688615999999,59992770.21812,39025,15316.836,29297391.55476,0
